Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
ACAD8,Invasive,Normal,62,10,-2.26273011084847,-12.6800908676394,68.9376034629265,1.09035106018618e-19,-1.36341116540886,-0.992717866849207,8.59193548387097,9.77,0,two.sided,Welch Two Sample t-test,1.6802309837469e-16
SRPX,Invasive,Normal,62,10,-9.54241769968935,-12.7015369434638,55.4051309986237,4.77944241173727e-18,-3.76774161448358,-2.74096806293578,8.94064516129032,12.195,0,two.sided,Welch Two Sample t-test,4.79589258561953e-15
LOC641848,Invasive,Normal,62,10,-3.61856918362682,-9.84826503797329,55.6962823120248,8.40945701017802e-14,-2.23287659334241,-1.47796211633501,11.3075806451613,13.163,0,two.sided,Welch Two Sample t-test,3.48895433726117e-11
LOC642989,Invasive,Normal,62,10,-2.88005582112153,-9.707363924541,57.1023198040864,1.0837217146523e-13,-1.8408925756872,-1.21130097269989,12.5779032258065,14.104,0,two.sided,Welch Two Sample t-test,4.37013313493621e-11
LOC401152,Invasive,Normal,62,10,-2.46245399950937,-10.3995438581038,45.7513860608752,1.23134435264141e-13,-1.55177539739914,-1.04841815098796,8.56290322580645,9.863,0,two.sided,Welch Two Sample t-test,4.9194487155344e-11
CAB39,Invasive,Normal,62,10,-1.79217271268179,-9.377129214533,63.0516356384435,1.43741191278216e-13,-1.0210818048006,-0.66233755003811,11.8612903225806,12.703,0,two.sided,Welch Two Sample t-test,5.58751794709231e-11
LOC401206,Invasive,Normal,62,10,-1.87149805435716,-8.99170439849111,69.7241523984127,2.83033820912705e-13,-1.1047653789002,-0.703621717873989,14.0508064516129,14.955,0,two.sided,Welch Two Sample t-test,1.03494434785944e-10
LGALS3,Invasive,Normal,62,10,-3.38251603687975,-9.49194376949381,55.5691392773245,3.15369611923355e-13,-2.12920029455385,-1.38699325383325,10.8479032258065,12.606,0,two.sided,Welch Two Sample t-test,1.13396400127241e-10
TRIP12,Invasive,Normal,62,10,-1.71413872463256,-9.17315070018379,62.6569760662681,3.41544144924422e-13,-0.946874309573366,-0.608093432362119,10.7995161290323,11.577,0,two.sided,Welch Two Sample t-test,1.21792948472719e-10
DIAPH3,Invasive,Normal,62,10,1.48977739219037,8.97585645651644,68.4666192137183,3.52363623517761e-13,0.447259820556737,0.702933727830358,8.02209677419355,7.447,0,two.sided,Welch Two Sample t-test,1.24621193668396e-10
RNF169,Invasive,Normal,62,10,1.42928173413963,10.1712822168216,44.0517240513946,3.89354299799758e-13,0.413192578545083,0.617388066616209,8.24129032258065,7.726,0,two.sided,Welch Two Sample t-test,1.3658422217691e-10
MORF4L1,Invasive,Normal,62,10,-2.35260328883953,-9.92255401510638,45.4178849253878,5.9907650834586e-13,-1.48472706679912,-0.98378906223314,10.9877419354839,12.222,0,two.sided,Welch Two Sample t-test,1.97270742081359e-10
LOC641750,Invasive,Normal,62,10,-4.87353208332046,-10.8434588271948,36.0964432824556,6.60633361367736e-13,-2.71229444312733,-1.85764104074364,9.31903225806452,11.604,0,two.sided,Welch Two Sample t-test,2.14323370498459e-10
LOC653527,Invasive,Normal,62,10,-1.66064297129162,-11.8364746833201,29.9687481517259,7.97214331748089e-13,-0.858002650099159,-0.605481220868581,7.74725806451613,8.479,0,two.sided,Welch Two Sample t-test,2.54801511009382e-10
BUD31,Invasive,Normal,62,10,1.4302408002242,9.34731252946988,53.0507274345862,8.3636742713925e-13,0.405481899798798,0.627034229233462,12.4822580645161,11.966,0,two.sided,Welch Two Sample t-test,2.65349865780914e-10
TXNIP,Invasive,Normal,62,10,-2.04728177203641,-8.57961745991845,69.9526597267183,1.57245866576075e-12,-1.27401100587747,-0.793408348961238,13.8862903225806,14.92,0,two.sided,Welch Two Sample t-test,4.77805961339752e-10
RPL7,Invasive,Normal,62,10,-2.62119703778462,-9.44663035761057,47.8064553653873,1.6433292229225e-12,-1.68615447132109,-1.09429714158213,12.0217741935484,13.412,0,two.sided,Welch Two Sample t-test,4.87981751142721e-10
NFKBIL2,Invasive,Normal,62,10,1.47621537966531,9.37207550858554,49.0191514262133,1.65011451185352e-12,0.441420239056081,0.682386212556823,7.94790322580645,7.386,0,two.sided,Welch Two Sample t-test,4.87981751142721e-10
TXNL1,Invasive,Normal,62,10,-2.19039878034196,-8.73425450932856,59.5296604520516,2.95315108085738e-12,-1.39029886201096,-0.872088234763231,9.6058064516129,10.737,0,two.sided,Welch Two Sample t-test,8.38306334452857e-10
CCND2,Invasive,Normal,62,10,-5.25647909486837,-9.3462880928305,46.1080193518082,3.26481459078272e-12,-2.90967709529713,-1.87851645308996,9.48790322580645,11.882,0,two.sided,Welch Two Sample t-test,9.14741688072031e-10
LOC647673,Invasive,Normal,62,10,-3.80535819061147,-9.71493624617671,41.1369647162965,3.28767028399676e-12,-2.32879108615606,-1.52727342997297,10.9059677419355,12.834,0,two.sided,Welch Two Sample t-test,9.15202563960595e-10
